Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Movie,Chrome 97.0.4692.99,,,2022-01-30 17:25:12,2022-01-30 17:25:49,37.621s,PASSED
,,,,,,,
Test Cases/Universal/Tc-1 Verify the movies on movie ticket page,Chrome 97.0.4692.99,,,2022-01-30 17:25:12,2022-01-30 17:25:49,37.423s,PASSED
"callTestCase(findTestCase(""Universal/Login/TC-1 Login with Moviestar""), [""Email"":""testing12345@yopmail.com"", ""Pswrd"":""3TL@testing""], STOP_ON_FAILURE)",Chrome 97.0.4692.99,,,2022-01-30 17:25:12,2022-01-30 17:25:39,26.691s,PASSED
delay(5),Chrome 97.0.4692.99,,,2022-01-30 17:25:39,2022-01-30 17:25:44,5.004s,PASSED
"mouseOver(findTestObject(""Object Repository/Universal Staging/a_Validate Purchase""))",Chrome 97.0.4692.99,,,2022-01-30 17:25:44,2022-01-30 17:25:44,0.224s,PASSED
"click(findTestObject(""Object Repository/Universal Staging/a_Movie Ticket""))",Chrome 97.0.4692.99,,,2022-01-30 17:25:44,2022-01-30 17:25:44,0.132s,PASSED
"scrollToPosition(999, 999, STOP_ON_FAILURE)",Chrome 97.0.4692.99,,,2022-01-30 17:25:44,2022-01-30 17:25:44,0.019s,PASSED
delay(5),Chrome 97.0.4692.99,,,2022-01-30 17:25:44,2022-01-30 17:25:49,5.004s,PASSED
"listofelements = findWebElements(findTestObject(""Object Repository/Universal Staging/Movies images""), 10)",Chrome 97.0.4692.99,,,2022-01-30 17:25:49,2022-01-30 17:25:49,0.042s,PASSED
"for ([i = 0, i < listofelements.size(), (i++)])",Chrome 97.0.4692.99,,,2022-01-30 17:25:49,2022-01-30 17:25:49,0.152s,PASSED
